site,Location,city,province,country,weekstart,measureid,pathogen_name,current_value,min,max,populationcoverage,level_percentile,official_level_score,level_score,trend_pct_change,official_trend_score,trend_score,jump_pct_change,jump_score,history_count,base_reliability,coverage_adjustment,recency_adjustment,reliability_score,weighted_blend,reliability_multiplier,hotspot_score,alert_band,latestTrend,latestLevel,Viral_Activity_Level,grouping
Toronto Highland Creek,Toronto Highland Creek,Toronto,Ontario,Canada,2025-09-07,fluB,Influenza B,0.566407819227479,0.0087553658126273,0.566407819227479,,83.33333333333333,25.0,54.16666666666666,442.189041317712,50.0,75.0,-71.02354956847526,0.0,6,88.0,-10.0,-8.0,70.0,50.625,0.91,46.06875,Moderate,No Recent Data,Low,NA2,Site
Toronto North Toronto,Toronto North Toronto,Toronto,Ontario,Canada,2025-09-07,rsv,RSV,0.39253114440012,0.288207312075726,0.772005174455549,,66.66666666666667,25.0,45.833333333333336,-84.84020330373403,50.0,25.0,60.89153540332671,100.0,6,88.0,-10.0,-8.0,70.0,49.375,0.91,44.93125,Moderate,No Recent Data,Low,NA2,Site
Vancouver Lulu Island,Vancouver Lulu Island,Metro Vancouver,British Columbia,Canada,2025-08-17,rsv,RSV,0.394407381057246,0.088839918906752,0.394407381057246,,75.0,25.0,50.0,306.40857274505487,50.0,75.0,-91.60346832881396,0.0,6,88.0,-10.0,-8.0,70.0,48.75,0.91,44.3625,Moderate,No Recent Data,Low,NA2,Site
Vancouver Iona Island,Vancouver Iona Island,Metro Vancouver,British Columbia,Canada,2026-03-01,covN2,COVID-19 (N2),2.92214679580692,2.92214679580692,170.850703587404,,66.66666666666667,55.0,60.833333333333336,9.294159099623396,50.0,55.57649545977404,-23.87600217638253,2.247995647234937,6,88.0,-10.0,0.0,78.0,47.276372540367895,0.934,44.15613195270361,Moderate,No Change,Moderate,Moderate,Site
Toronto North Toronto,Toronto North Toronto,Toronto,Ontario,Canada,2025-09-07,fluB,Influenza B,0.0087553658126273,0.0087553658126273,0.0087553658126273,,91.66666666666669,0.0,45.833333333333336,0.0,50.0,50.0,0.0,50.0,6,88.0,-10.0,-8.0,70.0,48.125,0.91,43.79375,Moderate,No Recent Data,Non-detect,NA2,Site
Toronto Highland Creek,Toronto Highland Creek,Toronto,Ontario,Canada,2025-09-07,covN2,COVID-19 (N2),29.3705565688917,22.2251647150526,58.4325574205626,,83.33333333333333,55.0,69.16666666666666,-20.17894371702002,50.0,37.89263376978799,-15.84374862782679,18.31250274434642,6,88.0,-10.0,-8.0,70.0,48.04992236829508,0.91,43.72542935514852,Moderate,No Recent Data,Moderate,NA2,Site
Metro Vancouver,Metro Vancouver,Metro Vancouver,British Columbia,Canada,2026-03-01,covN2,COVID-19 (N2),6.26863661806406,6.26863661806406,114.520981225422,0.829247869230842,58.333333333333336,25.0,41.66666666666667,147.29273537469987,50.0,75.0,-77.64320888346647,0.0,6,88.0,0.0,0.0,88.0,45.0,0.964,43.38,Moderate,No Change,Low,Low,City
British Columbia,British Columbia,,British Columbia,Canada,2026-03-01,covN2,COVID-19 (N2),6.26863661806406,6.26863661806406,114.520981225422,0.438234358399793,58.333333333333336,25.0,41.66666666666667,147.29273537469987,50.0,75.0,-77.64320888346647,0.0,6,88.0,-5.0,0.0,83.0,45.0,0.949,42.705,Moderate,No Change,Low,Low,Province
Vancouver Lions Gate,Vancouver Lions Gate,Metro Vancouver,British Columbia,Canada,2025-08-17,fluB,Influenza B,0.0087553658126273,0.0087553658126273,0.0087553658126273,,83.33333333333333,0.0,41.66666666666666,0.0,50.0,50.0,0.0,50.0,6,88.0,-10.0,-8.0,70.0,46.25,0.91,42.0875,Moderate,No Recent Data,Non-detect,NA2,Site
Sudbury,Sudbury,Sudbury,Ontario,Canada,2025-08-31,fluB,Influenza B,0.0087553658126273,0.0087553658126273,0.0087553658126273,,83.33333333333333,0.0,41.66666666666666,0.0,50.0,50.0,0.0,50.0,6,88.0,-10.0,-8.0,70.0,46.25,0.91,42.0875,Moderate,No Recent Data,Non-detect,NA2,Site
